brand,model,processor_brand,processor_model,processor_generation,processor_cores,processor_threads,cpu_base_clock_ghz,cpu_boost_clock_ghz,gpu_brand,gpu_model,gpu_memory_gb,ram_gb,ram_type,ram_speed_mhz,storage_type,storage_capacity_gb,screen_size_inches,screen_resolution,refresh_rate_hz,panel_type,touchscreen,operating_system,battery_capacity_wh,weight_kg,release_year,warranty_years,webcam_resolution,wifi_version,bluetooth_version,keyboard_backlit,fingerprint_sensor,price_rupees
ASUS,TUF Gaming A15 FA566NFR,Intel,Core i7-13620H,13,10,16,2.4,4.9,NVIDIA,GeForce RTX 5070,8,32,LPDDR5X,6400,NVMe SSD,4096,14.0,2880x1800,90,OLED,No,Windows 11 Home,54,1.59,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,228990
Infinix,Zero Book Ultra,Intel,Core i5-1335U,13,10,12,1.3,4.6,Intel,UHD Graphics,0,32,DDR5,5600,NVMe SSD,4096,14.0,1920x1200,60,IPS,No,Windows 11 Pro,59,1.82,2022,2,720p,Wi-Fi 5,5.0,Yes,Yes,134990
Razer,Blade 14 2023,Intel,Core i7-13620H,13,10,16,2.4,4.9,NVIDIA,GeForce RTX 4090,16,24,DDR5,4800,NVMe SSD,4096,14.0,2880x1800,90,OLED,No,Windows 11 Home,72,1.45,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,314990
ASUS,Vivobook 15 X1504VA,AMD,Ryzen 7 7730U,3,8,16,2.0,4.5,AMD,Radeon 610M,0,64,DDR5,5600,NVMe SSD,1024,13.3,1920x1200,60,IPS,Yes,Windows 11 Home,72,1.38,2023,1,720p,Wi-Fi 6,5.2,Yes,Yes,169990
ASUS,Zenbook 14X OLED UX3404VA,Intel,Core i5-1335U,13,10,12,1.3,4.6,NVIDIA,GeForce RTX 2050,4,32,LPDDR5X,6400,SSD,1024,16.0,2560x1600,120,IPS,Yes,Windows 11 Home,88,2.05,2024,1,1080p,Wi-Fi 6E,5.3,No,Yes,124990
Acer,Nitro V ANV15-41,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,NVIDIA,GeForce RTX 2050,4,8,DDR4,3200,NVMe SSD,4096,16.0,2560x1600,120,IPS,No,Windows 11 Home,80,3.03,2022,1,1080p,Wi-Fi 6,5.2,Yes,No,116990
Infinix,Zero Book Ultra,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,NVIDIA,GeForce RTX 5060,8,32,LPDDR5X,7467,SSD,1024,16.0,2560x1600,165,IPS,No,Windows 11 Home,74,2.68,2024,3,1080p,Wi-Fi 6E,5.3,Yes,No,162990
Huawei,MateBook 14 2023,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,AMD,Radeon 610M,0,16,DDR4,3200,NVMe SSD,2048,14.0,2880x1800,120,OLED,Yes,Windows 11 Home,63,2.27,2024,1,1080p,Wi-Fi 7,5.4,No,Yes,98990
Infinix,InBook X2 Slim,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,AMD,Radeon 760M,0,32,LPDDR5X,6400,SSD,1024,15.6,1920x1080,144,IPS,Yes,Windows 11 Home,61,1.68,2022,1,1080p,Wi-Fi 6,5.2,Yes,No,113990
Razer,Blade 16 2024,AMD,Ryzen 7 8845HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 4050,6,16,DDR5,4800,SSD,1024,17.3,1920x1080,144,IPS,No,Windows 11 Home,69,2.45,2024,1,1080p,Wi-Fi 7,5.4,Yes,No,156990
Razer,Blade 16 2024,Intel,Core i7-13700H,13,14,20,2.4,5.0,NVIDIA,GeForce RTX 4060,8,24,DDR5,4800,NVMe SSD,1024,14.0,2880x1800,120,OLED,No,Windows 11 Pro,90,1.73,2024,1,720p,Wi-Fi 6E,5.3,Yes,No,191990
HP,Victus 15-fb0147AX,Intel,Core i7-13620H,13,10,16,2.4,4.9,NVIDIA,GeForce RTX 5070,8,16,DDR5,5200,SSD,256,13.6,2560x1664,60,IPS,No,Windows 11 Home,68,1.74,2022,2,1080p,Wi-Fi 6,5.2,Yes,No,138990
Gigabyte,Aorus 15 BSF,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,NVIDIA,GeForce RTX 5050,8,16,DDR4,3200,NVMe SSD,1024,16.0,2560x1600,120,IPS,No,Windows 11 Home,67,2.73,2024,2,1080p,Wi-Fi 6E,5.3,Yes,No,117990
Apple,MacBook Air M2 15,Apple,M3 Max,3,14,14,4.05,4.05,Apple,Apple M3 Max 30-core,0,32,LPDDR5,6400,NVMe SSD,512,15.3,2880x1864,60,IPS,No,macOS Sequoia,89,1.33,2025,2,1080p,Wi-Fi 6E,5.3,Yes,Yes,401902
LG,Gram 17 2023,Intel,Core i5-1235U,12,10,12,1.3,4.4,NVIDIA,GeForce RTX 2050,4,32,LPDDR5X,7467,NVMe SSD,512,14.0,2880x1800,90,OLED,Yes,Windows 11 Pro,43,1.22,2025,3,720p,Wi-Fi 6E,5.3,Yes,No,125990
ASUS,Vivobook S14 S3407CA,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,AMD,Radeon 610M,0,16,LPDDR5,6400,SSD,2048,14.0,1920x1200,60,IPS,No,Windows 11 Home,77,1.51,2022,2,1080p,Wi-Fi 6E,5.3,Yes,No,100990
Infinix,Zero Book Ultra,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,AMD,Radeon 740M,0,64,DDR5,5600,NVMe SSD,4096,15.6,2560x1440,165,IPS,No,Windows 11 Pro,95,2.07,2025,2,1080p,Wi-Fi 6E,5.3,Yes,No,195990
MSI,Cyborg 15 A12VE,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 3050,6,8,DDR5,4800,SSD,1024,14.0,2880x1800,90,OLED,No,Windows 11 Pro,61,1.54,2025,1,1080p,Wi-Fi 6E,5.3,Yes,No,108990
Gigabyte,Aorus 15 BSF,AMD,Ryzen 7 8845HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 4090,16,24,DDR5,4800,SSD,256,15.6,1920x1080,60,IPS,No,Windows 11 Home,74,2.23,2024,3,1080p,Wi-Fi 6E,5.3,Yes,No,252990
Apple,MacBook Pro M3 14,Apple,M3 Pro,3,11,11,4.05,4.05,Apple,Apple M3 Pro 14-core,0,16,LPDDR5,6400,NVMe SSD,2048,13.6,2560x1664,60,IPS,No,macOS Sequoia,93,1.39,2023,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,257455
Apple,MacBook Air M3 15,Apple,M3 Pro,3,11,11,4.05,4.05,Apple,Apple M3 Pro 14-core,0,16,LPDDR5,6400,SSD,256,15.3,2880x1864,60,IPS,No,macOS Sequoia,56,1.42,2022,1,1080p,Wi-Fi 5,5.0,Yes,Yes,181820
LG,Gram 16 2023,AMD,Ryzen 5 7520U,3,4,8,2.8,4.3,AMD,Radeon 760M,0,8,DDR5,4800,SSD,512,17.3,1920x1080,144,IPS,Yes,Windows 11 Home,88,2.04,2024,2,1080p,Wi-Fi 6E,5.3,Yes,Yes,60990
Acer,Predator Helios Neo 16 PHN16-71,AMD,Ryzen 7 8845HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 3050,6,32,LPDDR5X,6400,SSD,1024,15.6,1920x1080,60,IPS,No,Windows 11 Home,80,2.39,2022,2,1080p,Wi-Fi 5,5.0,Yes,No,139990
Razer,Blade 16 2024,Intel,Core i7-13620H,13,10,16,2.4,4.9,NVIDIA,GeForce RTX 4090,16,8,DDR5,4800,NVMe SSD,512,16.0,2560x1600,120,IPS,No,Windows 11 Home,85,2.94,2022,1,1080p,Wi-Fi 6,5.2,Yes,No,235990
Samsung,Galaxy Book3 Pro 360,Intel,Core i5-13450HX,13,10,16,2.4,4.6,Intel,Iris Xe Graphics,0,16,DDR5,5200,NVMe SSD,1024,14.0,2880x1800,120,OLED,Yes,Windows 11 Home,42,1.9,2023,1,1080p,Wi-Fi 6E,5.3,No,Yes,105990
Huawei,MateBook X Pro 2023,AMD,Ryzen 5 7530U,3,6,12,2.0,4.5,AMD,Radeon 610M,0,16,DDR4,3200,NVMe SSD,512,14.0,2880x1800,90,OLED,No,Windows 11 Pro,61,2.11,2024,2,1080p,Wi-Fi 7,5.4,Yes,No,72990
Acer,Swift Go 14 SFG14-41,Intel,Core i7-13700H,13,14,20,2.4,5.0,Intel,Arc Graphics,0,16,DDR5,4800,NVMe SSD,1024,13.6,2560x1664,60,IPS,Yes,Windows 11 Pro,55,1.12,2025,3,1080p,Wi-Fi 6E,5.3,Yes,Yes,94990
Acer,Aspire 3 A314-23,AMD,Ryzen 9 7940HS,4,8,16,4.0,5.2,AMD,Radeon 760M,0,8,DDR4,3200,SSD,256,16.0,1920x1200,60,IPS,No,Windows 11 Pro,97,1.81,2022,3,1080p,Wi-Fi 6E,5.3,No,No,77990
Lenovo,Legion Pro 5 16IRX9,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,NVIDIA,GeForce RTX 3050,6,16,DDR4,3200,NVMe SSD,2048,15.6,2560x1440,165,IPS,No,Windows 11 Home,51,1.67,2025,1,720p,Wi-Fi 6E,5.3,Yes,Yes,126990
Apple,MacBook Pro M3 Max 16,Apple,M3 Pro,3,11,11,4.05,4.05,Apple,Apple M3 Pro 14-core,0,16,LPDDR5,6400,SSD,512,16.2,3456x2234,120,Liquid Retina XDR,No,macOS Sequoia,68,1.87,2023,3,720p,Wi-Fi 6,5.2,Yes,Yes,201115
Acer,Aspire 3 A314-23,Intel,Core i7-13620H,13,10,16,2.4,4.9,Intel,Iris Xe Graphics,0,64,DDR5,5600,NVMe SSD,4096,13.6,2560x1664,60,IPS,Yes,Windows 11 Home,92,1.27,2023,2,720p,Wi-Fi 7,5.4,Yes,Yes,226990
Razer,Blade 14 2023,Intel,Core i5-13450HX,13,10,16,2.4,4.6,NVIDIA,GeForce RTX 2050,4,8,DDR5,4800,NVMe SSD,512,16.0,2560x1600,120,IPS,No,Windows 11 Home,67,3.04,2025,3,1080p,Wi-Fi 6E,5.3,Yes,No,89990
LG,Gram 17 2023,Intel,Core i3-1215U,12,6,8,1.2,4.4,Intel,Arc Graphics,0,32,LPDDR5X,6400,SSD,1024,17.3,1920x1080,144,IPS,No,Windows 11 Home,94,2.22,2024,2,1080p,Wi-Fi 7,5.4,No,No,103990
Samsung,Galaxy Book3 Pro 360,AMD,Ryzen 3 7320U,3,4,8,2.4,4.1,AMD,Radeon 610M,0,8,DDR5,4800,NVMe SSD,1024,15.6,1920x1080,144,IPS,Yes,Windows 11 Home,84,2.52,2025,1,1080p,Wi-Fi 6E,5.3,Yes,No,53990
Gigabyte,G5 KF,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,AMD,Radeon 610M,0,32,LPDDR5X,7467,NVMe SSD,4096,15.6,1920x1080,144,IPS,Yes,Windows 11 Pro,75,1.67,2025,2,720p,Wi-Fi 6E,5.3,Yes,No,152990
Infinix,Zero Book Ultra,Intel,Core i5-1335U,13,10,12,1.3,4.6,Intel,Arc Graphics,0,32,LPDDR5X,6400,SSD,2048,16.0,2880x1800,120,OLED,Yes,Windows 11 Home,70,1.8,2022,2,720p,Wi-Fi 6,5.2,No,No,127990
Acer,Swift 3 SF314-512,AMD,Ryzen 5 7530U,3,6,12,2.0,4.5,AMD,Radeon 780M,0,24,DDR5,4800,SSD,1024,15.6,1920x1080,144,IPS,Yes,Windows 11 Home,74,2.23,2023,1,1080p,Wi-Fi 6E,5.3,Yes,No,92990
Acer,Predator Triton Neo 16,Intel,Core i9-13900H,13,14,20,1.9,5.4,NVIDIA,GeForce RTX 5070,8,32,LPDDR5X,6400,NVMe SSD,4096,14.0,1920x1200,60,IPS,No,Windows 11 Home,70,1.93,2025,2,1080p,Wi-Fi 6E,5.3,Yes,No,240990
Gigabyte,G5 KF,Intel,Core i3-1315U,13,6,8,1.2,4.5,Intel,Iris Xe Graphics,0,64,DDR5,5600,NVMe SSD,2048,15.6,1920x1080,144,IPS,Yes,Windows 11 Home,44,1.33,2025,1,720p,Wi-Fi 6E,5.3,No,Yes,173990
Apple,MacBook Air M2 15,Apple,M1,1,8,8,3.2,3.2,Apple,Apple M1 8-core,0,16,LPDDR5,6400,SSD,512,15.3,2880x1864,60,IPS,No,macOS Sonoma,92,1.45,2025,1,720p,Wi-Fi 7,5.4,Yes,Yes,84653
HP,Pavilion Plus 14-eh1000TU,AMD,Ryzen 5 7520U,3,4,8,2.8,4.3,AMD,Radeon 760M,0,8,DDR4,3200,SSD,256,15.6,1920x1080,60,IPS,Yes,Windows 11 Home,64,1.69,2023,1,1080p,Wi-Fi 7,5.4,Yes,Yes,38990
LG,Gram SuperSlim 15,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,AMD,Radeon 780M,0,32,LPDDR5X,6400,SSD,1024,14.0,2880x1800,90,OLED,No,Windows 11 Home,71,1.52,2022,2,1080p,Wi-Fi 7,5.4,Yes,Yes,126990
MSI,Raider GE78 HX 13VH,Intel,Core i9-13900H,13,14,20,1.9,5.4,NVIDIA,GeForce MX550,2,16,LPDDR5,6400,NVMe SSD,512,15.6,2560x1440,165,IPS,No,Windows 11 Pro,78,1.6,2025,3,1080p,Wi-Fi 6E,5.3,Yes,Yes,126990
Huawei,MateBook 14 2023,Intel,Core i7-13700H,13,14,20,2.4,5.0,Intel,Arc Graphics,0,64,DDR5,5600,SSD,1024,16.0,2560x1600,120,IPS,No,Windows 11 Home,95,2.58,2023,1,1080p,Wi-Fi 6,5.2,Yes,Yes,179990
Samsung,Galaxy Book3 15,AMD,Ryzen 7 7730U,3,8,16,2.0,4.5,AMD,Radeon 740M,0,16,DDR4,3200,NVMe SSD,512,15.6,1920x1080,60,IPS,No,Windows 11 Pro,54,1.34,2025,1,1080p,Wi-Fi 6E,5.3,No,No,72990
MSI,Modern 15 B12M,AMD,Ryzen 5 7520U,3,4,8,2.8,4.3,AMD,Radeon 760M,0,16,DDR5,4800,NVMe SSD,2048,17.3,1920x1080,144,IPS,No,Windows 11 Home,82,2.29,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,85990
Samsung,Galaxy Book3 15,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,NVIDIA,GeForce RTX 4070,8,16,LPDDR5,5200,SSD,2048,16.0,2560x1600,165,IPS,Yes,Windows 11 Home,79,1.83,2022,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,176990
Microsoft,Surface Laptop 5 13.5,Intel,Core i7-13700H,13,14,20,2.4,5.0,Intel,Arc Graphics,0,64,DDR5,5600,NVMe SSD,2048,16.0,2560x1600,120,IPS,Yes,Windows 11 Home,73,2.38,2024,1,1080p,Wi-Fi 6E,5.3,No,Yes,220990
HP,Omen 16-wd0000TX,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,NVIDIA,GeForce MX550,2,16,LPDDR5,5200,SSD,256,15.6,1920x1080,144,IPS,No,Windows 11 Pro,77,1.58,2023,3,720p,Wi-Fi 5,5.0,Yes,Yes,98990
Gigabyte,Aorus 15 BSF,Intel,Core i5-13450HX,13,10,16,2.4,4.6,NVIDIA,GeForce MX550,2,16,DDR5,4800,SSD,2048,14.0,2880x1800,90,OLED,No,Windows 11 Pro,86,1.45,2023,1,1080p,Wi-Fi 6,5.2,Yes,Yes,107990
MSI,Summit E14 Flip Evo,AMD,Ryzen 7 7730U,3,8,16,2.0,4.5,AMD,Radeon 740M,0,16,DDR5,5200,SSD,256,14.0,1920x1200,60,IPS,Yes,Windows 11 Home,49,2.23,2025,2,1080p,Wi-Fi 7,5.4,Yes,No,69990
LG,Gram 14 2023,Qualcomm,Snapdragon X Plus X1P-64-100,1,10,10,3.4,3.4,Qualcomm,Adreno X1-85,0,24,DDR5,4800,SSD,256,13.3,1920x1200,60,IPS,No,Windows 11 Home,69,1.22,2025,1,720p,Wi-Fi 7,5.4,Yes,Yes,79990
LG,Gram 17 2023,Intel,Core Ultra 9 185H,1,16,22,2.3,5.1,NVIDIA,GeForce RTX 4080,12,16,DDR5,5200,NVMe SSD,4096,16.0,1920x1200,60,IPS,No,Windows 11 Home,92,2.42,2025,1,1080p,Wi-Fi 6E,5.3,No,No,285990
Apple,MacBook Pro M3 Pro 14,Apple,M1,1,8,8,3.2,3.2,Apple,Apple M1 8-core,0,16,LPDDR5,6400,NVMe SSD,1024,13.6,2560x1664,60,IPS,No,macOS Sonoma,57,1.04,2022,1,1080p,Wi-Fi 7,5.4,Yes,Yes,104428
Razer,Blade 16 2024,Intel,Core i5-13420H,13,8,12,2.1,4.6,NVIDIA,GeForce RTX 4050,6,32,LPDDR5X,6400,NVMe SSD,512,15.6,1920x1080,60,IPS,No,Windows 11 Home,61,1.67,2025,1,720p,Wi-Fi 7,5.4,Yes,Yes,142990
LG,Gram 16 2023,AMD,Ryzen 3 7320U,3,4,8,2.4,4.1,NVIDIA,GeForce MX550,2,8,DDR4,3200,NVMe SSD,512,13.3,1920x1200,60,IPS,Yes,Windows 11 Home,86,1.41,2024,1,1080p,Wi-Fi 7,5.4,No,Yes,45990
Huawei,MateBook D15 2023,Intel,Core i5-1235U,12,10,12,1.3,4.4,Intel,UHD Graphics,0,16,LPDDR5,6400,NVMe SSD,2048,15.6,2560x1440,165,IPS,No,Windows 11 Pro,65,1.6,2024,3,720p,Wi-Fi 6E,5.3,Yes,Yes,85990
Acer,Nitro V ANV15-41,AMD,Ryzen 9 7940HS,4,8,16,4.0,5.2,NVIDIA,GeForce RTX 4090,16,24,DDR5,4800,NVMe SSD,4096,15.6,1920x1080,144,IPS,No,Windows 11 Pro,80,1.62,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,311990
LG,Gram 14 2023,Intel,Core i3-1215U,12,6,8,1.2,4.4,Intel,UHD Graphics,0,8,DDR5,4800,NVMe SSD,512,14.0,2880x1800,120,OLED,No,Windows 11 Home,42,1.87,2025,1,1080p,Wi-Fi 7,5.4,Yes,No,47990
Razer,Blade 14 2023,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,NVIDIA,GeForce RTX 2050,4,24,DDR5,4800,SSD,512,15.6,1920x1080,60,IPS,No,Windows 11 Home,88,2.06,2022,2,720p,Wi-Fi 6,5.2,Yes,No,113990
MSI,Modern 15 B12M,AMD,Ryzen 3 7320U,3,4,8,2.4,4.1,AMD,Radeon 780M,0,16,LPDDR5,6400,NVMe SSD,2048,16.0,1920x1200,60,IPS,Yes,Windows 11 Home,79,1.94,2023,1,720p,Wi-Fi 7,5.4,Yes,No,75990
Razer,Blade 14 2023,Intel,Core i7-13700H,13,14,20,2.4,5.0,NVIDIA,GeForce RTX 3050,6,8,DDR5,4800,NVMe SSD,512,14.0,2880x1800,90,OLED,No,Windows 11 Home,89,1.56,2024,2,1080p,Wi-Fi 7,5.4,Yes,No,125990
Huawei,MateBook 14 2023,Intel,Core i5-13420H,13,8,12,2.1,4.6,Intel,Iris Xe Graphics,0,24,DDR5,4800,NVMe SSD,512,17.3,1920x1080,144,IPS,No,Windows 11 Home,81,2.04,2025,1,720p,Wi-Fi 6E,5.3,Yes,Yes,91990
Microsoft,Surface Laptop Studio 2,Intel,Core Ultra 5 125H,1,14,18,1.2,4.5,Intel,Arc Graphics,0,8,DDR4,3200,NVMe SSD,4096,17.3,1920x1080,144,IPS,Yes,Windows 11 Home,85,2.75,2025,1,1080p,Wi-Fi 7,5.4,Yes,Yes,132990
Samsung,Galaxy Book4 15,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,AMD,Radeon 740M,0,16,LPDDR5,5200,NVMe SSD,1024,14.0,2880x1800,120,OLED,No,Windows 11 Home,91,1.64,2025,1,1080p,Wi-Fi 6E,5.3,Yes,No,86990
Infinix,InBook X2 Slim,Intel,Core Ultra 5 125H,1,14,18,1.2,4.5,Intel,Arc Graphics,0,8,DDR5,4800,NVMe SSD,1024,14.0,2880x1800,120,OLED,No,Windows 11 Pro,80,2.18,2022,1,1080p,Wi-Fi 6,5.2,Yes,Yes,76990
Apple,MacBook Pro M2 Pro 14,Apple,M3,3,8,8,4.05,4.05,Apple,Apple M3 10-core,0,8,LPDDR5,6400,NVMe SSD,1024,13.6,2560x1664,60,IPS,No,macOS Sequoia,66,1.07,2024,1,720p,Wi-Fi 7,5.4,Yes,Yes,79439
Infinix,InBook X2 Slim,Qualcomm,Snapdragon X Plus X1P-64-100,1,10,10,3.4,3.4,Qualcomm,Adreno X1-85,0,16,LPDDR5,5200,SSD,2048,15.6,2560x1440,165,IPS,No,Windows 11 Home,56,1.92,2024,2,1080p,Wi-Fi 7,5.4,No,No,92990
Gigabyte,G5 KF,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,AMD,Radeon 740M,0,16,DDR5,4800,SSD,1024,14.0,2880x1800,120,OLED,Yes,Windows 11 Home,97,1.69,2022,3,720p,Wi-Fi 6,5.2,Yes,Yes,87990
Microsoft,Surface Laptop 5 13.5,Intel,Core i7-13700H,13,14,20,2.4,5.0,Intel,UHD Graphics,0,24,DDR5,4800,NVMe SSD,1024,13.3,1920x1200,60,IPS,No,Windows 11 Home,67,1.11,2022,1,1080p,Wi-Fi 5,5.0,Yes,Yes,119990
Huawei,MateBook 14 2023,Intel,Core i5-13420H,13,8,12,2.1,4.6,Intel,Iris Xe Graphics,0,24,DDR5,4800,SSD,1024,17.3,1920x1080,144,IPS,No,Windows 11 Home,70,1.72,2023,1,1080p,Wi-Fi 5,5.0,Yes,Yes,94990
Lenovo,Legion 5 15ARH7,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,NVIDIA,GeForce MX550,2,24,DDR5,4800,SSD,512,13.6,2560x1664,60,IPS,No,Windows 11 Home,49,1.56,2024,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,90990
Dell,Inspiron 16 5620,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,AMD,Radeon 740M,0,32,DDR5,5600,SSD,1024,15.6,1920x1080,144,IPS,No,Windows 11 Home,82,1.71,2024,1,720p,Wi-Fi 6E,5.3,Yes,Yes,111990
Huawei,MateBook D15 2023,Qualcomm,Snapdragon X Elite X1E-80-100,1,12,12,3.4,4.0,Qualcomm,Adreno X1-85,0,8,DDR5,4800,SSD,256,15.6,1920x1080,60,IPS,No,Windows 11 Pro,95,2.28,2025,2,1080p,Wi-Fi 6E,5.3,No,Yes,69990
Lenovo,LOQ 15ARP9,Intel,Core i5-13420H,13,8,12,2.1,4.6,NVIDIA,GeForce RTX 4050,6,16,DDR5,5200,NVMe SSD,2048,16.0,1920x1200,60,IPS,No,Windows 11 Home,89,2.39,2022,1,1080p,Wi-Fi 5,5.0,Yes,No,128990
Infinix,Zero Book Ultra,Intel,Core Ultra 9 185H,1,16,22,2.3,5.1,Intel,UHD Graphics,0,24,DDR5,4800,NVMe SSD,4096,15.6,1920x1080,60,IPS,No,Windows 11 Home,88,1.77,2025,3,1080p,Wi-Fi 6E,5.3,Yes,Yes,153990
Huawei,MateBook 14 2023,Intel,Core i9-13900H,13,14,20,1.9,5.4,Intel,Arc Graphics,0,16,LPDDR5,6400,SSD,1024,16.0,2880x1800,120,OLED,No,Windows 11 Home,71,2.7,2025,2,1080p,Wi-Fi 6E,5.3,No,No,129990
Infinix,InBook X2 Slim,Intel,Core i3-1215U,12,6,8,1.2,4.4,Intel,Arc Graphics,0,32,LPDDR5X,7467,NVMe SSD,4096,13.3,1920x1200,60,IPS,Yes,Windows 11 Home,57,1.16,2025,3,720p,Wi-Fi 6E,5.3,No,No,119990
Gigabyte,Aorus 15 BSF,AMD,Ryzen 7 8845HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 4050,6,32,DDR5,5600,NVMe SSD,1024,15.6,1920x1080,144,IPS,No,Windows 11 Home,55,1.49,2023,2,1080p,Wi-Fi 7,5.4,Yes,No,166990
Infinix,Zero Book Ultra,Intel,Core i7-1260P,12,12,16,1.5,4.7,NVIDIA,GeForce RTX 3050,6,64,DDR5,5600,NVMe SSD,4096,14.0,2880x1800,90,OLED,Yes,Windows 11 Pro,96,1.26,2023,2,720p,Wi-Fi 6,5.2,Yes,Yes,244990
Acer,Swift Go 14 SFG14-41,Intel,Core i5-13450HX,13,10,16,2.4,4.6,Intel,Arc Graphics,0,32,LPDDR5X,7467,SSD,1024,17.3,1920x1080,144,IPS,No,Windows 11 Home,73,2.57,2023,2,720p,Wi-Fi 6,5.2,Yes,No,119990
